,month,total_rainfall,no_of_rainy_days,mean_temp,maximum_rainfall_in_a_day,mean_sunshine_hrs,mean_rh,year,month_of_year
354,2011-07,76.6,7,28.7,30.0,7.8,81.3,2011,07
355,2011-08,81.4,13,27.9,30.2,6.1,82.6,2011,08
356,2011-09,136.4,14,27.8,40.4,5.1,82.7,2011,09
357,2011-10,216.8,20,27.3,54.0,5.3,87.4,2011,10
358,2011-11,377.8,24,27.1,78.6,4.6,87.8,2011,11
359,2011-12,284.6,21,26.6,87.4,3.3,88.4,2011,12
360,2012-01,106.1,16,26.7,26.2,6.0,87.3,2012,01
361,2012-02,83.6,11,27.2,38.4,7.0,85.6,2012,02
362,2012-03,313.4,21,27.0,92.3,4.2,87.3,2012,03
363,2012-04,260.6,20,27.6,48.4,5.8,85.1,2012,04
364,2012-05,292.0,19,28.2,79.2,5.6,83.1,2012,05
365,2012-06,53.0,8,28.7,38.2,6.0,79.0,2012,06
366,2012-07,130.8,17,27.7,35.4,6.2,81.1,2012,07
367,2012-08,119.0,12,27.9,31.0,6.1,79.8,2012,08
368,2012-09,107.6,10,27.9,35.8,5.6,79.7,2012,09
369,2012-10,122.2,13,27.7,22.6,5.9,81.3,2012,10
370,2012-11,208.2,22,27.1,49.2,4.4,85.4,2012,11
371,2012-12,363.4,22,26.7,78.8,3.6,87.0,2012,12
372,2013-01,262.0,15,27.1,73.0,6.0,82.1,2013,01
373,2013-02,395.2,22,26.5,95.2,4.0,86.9,2013,02
374,2013-03,85.8,10,28.3,29.6,7.5,80.4,2013,03
375,2013-04,159.4,19,28.2,41.6,5.2,82.7,2013,04
376,2013-05,211.4,17,28.2,46.2,5.4,83.1,2013,05
377,2013-06,111.4,12,29.0,22.4,6.4,74.6,2013,06
378,2013-07,174.6,15,27.8,37.4,5.7,79.9,2013,07
379,2013-08,165.6,15,27.9,43.2,6.1,79.0,2013,08
380,2013-09,257.0,19,27.5,52.6,4.6,81.3,2013,09
381,2013-10,285.4,19,27.7,139.8,6.3,79.9,2013,10
382,2013-11,292.4,22,27.1,44.0,4.5,84.6,2013,11
383,2013-12,348.2,21,26.5,119.8,3.5,85.8,2013,12
384,2014-01,75.4,5,26.2,31.2,5.3,78.5,2014,01
385,2014-02,0.2,1,27.2,0.2,8.8,74.5,2014,02
386,2014-03,66.0,6,27.9,52.6,8.0,76.0,2014,03
387,2014-04,110.0,17,28.2,28.8,5.7,80.0,2014,04
388,2014-05,125.8,18,28.6,22.2,5.8,80.2,2014,05
389,2014-06,71.4,11,29.0,18.8,6.0,77.5,2014,06
390,2014-07,148.6,15,28.7,29.0,5.5,78.3,2014,07
391,2014-08,241.0,20,27.7,44.2,4.5,79.7,2014,08
392,2014-09,83.6,9,28.5,34.6,7.0,75.6,2014,09
393,2014-10,120.0,10,28.4,32.8,6.0,77.0,2014,10
394,2014-11,250.8,23,27.5,64.4,5.4,82.4,2014,11
395,2014-12,245.6,17,27.0,48.2,3.7,82.6,2014,12
396,2015-01,79.6,6,26.9,33.6,7.4,77.6,2015,01
397,2015-02,18.8,6,27.0,10.8,7.3,75.4,2015,02
398,2015-03,84.4,5,28.2,46.0,7.3,75.8,2015,03
399,2015-04,73.2,13,28.6,18.8,7.2,77.1,2015,04
400,2015-05,89.0,12,28.7,22.2,5.8,78.9,2015,05
401,2015-06,95.8,10,29.0,28.4,6.7,75.8,2015,06
402,2015-07,116.8,13,29.1,45.8,7.1,74.9,2015,07
403,2015-08,185.8,11,28.4,63.2,6.1,76.7,2015,08
404,2015-09,61.6,8,28.7,18.4,4.3,75.0,2015,09
